seq:	Ia	Ib	Ic	In	Va	Vb	Vc	Vn
1	328.227	-155.563	-155.563	0	311.127	-152.663	-155.563	0	
2	308.979	-130.784	-179.09	0	309.874	-130.139	-179.09	0	
3	313.052	-104.952	-201.175	0	306.127	-107.565	-201.175	0	
4	299.643	-78.2754	-221.639	0	299.915	-80.0835	-221.639	0	
5	291.957	-50.9682	-240.32	0	291.288	-49.1601	-240.32	0	
6	280.627	-23.2505	-257.065	0	280.316	-20.6377	-257.065	0	
7	261.062	4.65428	-271.741	0	267.087	4.00896	-271.741	0	
8	259.96	32.5216	-284.229	0	251.707	29.6216	-284.229	0	
9	224.939	60.1271	-294.428	0	234.301	59.4818	-294.428	0	
10	215.337	87.2485	-302.257	0	215.008	89.8613	-302.257	0	
11	186.002	113.667	-307.652	0	193.984	115.476	-307.652	0	
12	170.593	139.171	-310.57	0	171.399	137.363	-310.57	0	
13	143.859	163.554	-310.988	0	147.433	160.942	-310.988	0	
14	119.553	186.621	-308.901	0	122.281	187.266	-308.901	0	
15	104.921	208.185	-304.328	0	96.1435	211.085	-304.328	0	
16	64.8552	228.072	-297.304	0	69.2323	228.718	-297.304	0	
17	45.3607	246.124	-287.887	0	41.7636	243.511	-287.887	0	
18	9.01148	262.193	-276.152	0	13.9587	260.385	-276.152	0	
19	-11.1562	276.152	-262.193	0	-13.9587	277.96	-262.193	0	
20	-46.0544	287.887	-246.124	0	-41.7636	290.5	-246.124	0	
21	-69.5786	297.304	-228.072	0	-69.2323	296.659	-228.072	0	
22	-90.797	304.328	-208.185	0	-96.1435	301.428	-208.185	0	
23	-125.645	308.901	-186.621	0	-122.281	308.256	-186.621	0	
24	-147.066	310.988	-163.554	0	-147.433	313.601	-163.554	0	
25	-175.981	310.57	-139.171	0	-171.399	312.378	-139.171	0	
26	-191.569	307.652	-113.667	0	-193.984	305.844	-113.667	0	
27	-219.018	302.257	-87.2485	0	-215.008	299.644	-87.2485	0	
28	-231.623	294.428	-60.1271	0	-234.301	295.073	-60.1271	0	
29	-246.284	284.229	-32.5216	0	-251.707	287.129	-32.5216	0	
30	-265.774	271.741	-4.65428	0	-267.087	272.386	-4.65428	0	
31	-280.537	257.065	23.2505	0	-280.316	254.452	23.2505	0	
32	-292.284	240.32	50.9682	0	-291.288	238.512	50.9682	0	
