seq:	Ia	Ib	Ic	In	Va	Vb	Vc	Vn
1	311.127	-155.563	-155.563	0	311.127	-155.563	-155.563	0	
2	310.513	-138.338	-172.175	0	310.513	-138.338	-172.175	0	
3	308.674	-120.567	-188.107	0	308.674	-120.567	-188.107	0	
4	305.616	-102.319	-203.297	0	305.616	-102.319	-203.297	0	
5	301.352	-83.6682	-217.684	0	301.352	-83.6682	-217.684	0	
6	295.899	-64.6869	-231.212	0	295.899	-64.6869	-231.212	0	
7	289.279	-45.4504	-243.828	0	289.279	-45.4504	-243.828	0	
8	281.516	-26.0344	-255.482	0	281.516	-26.0344	-255.482	0	
9	272.643	-6.51575	-266.127	0	272.643	-6.51575	-266.127	0	
10	262.693	13.0286	-275.722	0	262.693	13.0286	-275.722	0	
11	251.707	32.5216	-284.229	0	251.707	32.5216	-284.229	0	
12	239.727	51.8863	-291.614	0	239.727	51.8863	-291.614	0	
13	226.802	71.0461	-297.848	0	226.802	71.0461	-297.848	0	
14	212.981	89.9256	-302.907	0	212.981	89.9256	-302.907	0	
15	198.32	108.45	-306.77	0	198.32	108.45	-306.77	0	
16	182.876	126.547	-309.423	0	182.876	126.547	-309.423	0	
17	166.71	144.144	-310.854	0	166.71	144.144	-310.854	0	
18	149.887	161.172	-311.059	0	149.887	161.172	-311.059	0	
19	132.471	177.564	-310.036	0	132.471	177.564	-310.036	0	
20	114.533	193.256	-307.789	0	114.533	193.256	-307.789	0	
21	96.1435	208.185	-304.328	0	96.1435	208.185	-304.328	0	
22	77.3741	222.292	-299.666	0	77.3741	222.292	-299.666	0	
23	58.2994	235.522	-293.821	0	58.2994	235.522	-293.821	0	
24	38.9946	247.822	-286.816	0	38.9946	247.822	-286.816	0	
25	19.5358	259.144	-278.68	0	19.5358	259.144	-278.68	0	
26	8.81345e-014	269.444	-269.444	0	8.81345e-014	269.444	-269.444	0	
27	-19.5358	278.68	-259.144	0	-19.5358	278.68	-259.144	0	
28	-38.9946	286.816	-247.822	0	-38.9946	286.816	-247.822	0	
29	-58.2994	293.821	-235.522	0	-58.2994	293.821	-235.522	0	
30	-77.3741	299.666	-222.292	0	-77.3741	299.666	-222.292	0	
31	-96.1435	304.328	-208.185	0	-96.1435	304.328	-208.185	0	
32	-114.533	307.789	-193.256	0	-114.533	307.789	-193.256	0	
33	-132.471	310.036	-177.564	0	-132.471	310.036	-177.564	0	
34	-149.887	311.059	-161.172	0	-149.887	311.059	-161.172	0	
35	-166.71	310.854	-144.144	0	-166.71	310.854	-144.144	0	
36	-182.876	309.423	-126.547	0	-182.876	309.423	-126.547	0	
37	-198.32	306.77	-108.45	0	-198.32	306.77	-108.45	0	
38	-212.981	302.907	-89.9256	0	-212.981	302.907	-89.9256	0	
39	-226.802	297.848	-71.0461	0	-226.802	297.848	-71.0461	0	
40	-239.727	291.614	-51.8863	0	-239.727	291.614	-51.8863	0	
41	-251.707	284.229	-32.5216	0	-251.707	284.229	-32.5216	0	
42	-262.693	275.722	-13.0286	0	-262.693	275.722	-13.0286	0	
43	-272.643	266.127	6.51575	0	-272.643	266.127	6.51575	0	
44	-281.516	255.482	26.0344	0	-281.516	255.482	26.0344	0	
45	-289.279	243.828	45.4504	0	-289.279	243.828	45.4504	0	
46	-295.899	231.212	64.6869	0	-295.899	231.212	64.6869	0	
47	-301.352	217.684	83.6682	0	-301.352	217.684	83.6682	0	
48	-305.616	203.297	102.319	0	-305.616	203.297	102.319	0	
49	-308.674	188.107	120.567	0	-308.674	188.107	120.567	0	
50	-310.513	172.175	138.338	0	-310.513	172.175	138.338	0	
51	-311.127	155.563	155.563	0	-311.127	155.563	155.563	0	
52	-310.513	138.338	172.175	0	-310.513	138.338	172.175	0	
53	-308.674	120.567	188.107	0	-308.674	120.567	188.107	0	
54	-305.616	102.319	203.297	0	-305.616	102.319	203.297	0	
55	-301.352	83.6682	217.684	0	-301.352	83.6682	217.684	0	
56	-295.899	64.6869	231.212	0	-295.899	64.6869	231.212	0	
57	-289.279	45.4504	243.828	0	-289.279	45.4504	243.828	0	
58	-281.516	26.0344	255.482	0	-281.516	26.0344	255.482	0	
59	-272.643	6.51575	266.127	0	-272.643	6.51575	266.127	0	
60	-262.693	-13.0286	275.722	0	-262.693	-13.0286	275.722	0	
61	-251.707	-32.5216	284.229	0	-251.707	-32.5216	284.229	0	
62	-239.727	-51.8863	291.614	0	-239.727	-51.8863	291.614	0	
63	-226.802	-71.0461	297.848	0	-226.802	-71.0461	297.848	0	
64	-212.981	-89.9256	302.907	0	-212.981	-89.9256	302.907	0	
65	-198.32	-108.45	306.77	0	-198.32	-108.45	306.77	0	
66	-182.876	-126.547	309.423	0	-182.876	-126.547	309.423	0	
67	-166.71	-144.144	310.854	0	-166.71	-144.144	310.854	0	
68	-149.887	-161.172	311.059	0	-149.887	-161.172	311.059	0	
69	-132.471	-177.564	310.036	0	-132.471	-177.564	310.036	0	
70	-114.533	-193.256	307.789	0	-114.533	-193.256	307.789	0	
71	-96.1435	-208.185	304.328	0	-96.1435	-208.185	304.328	0	
72	-77.3741	-222.292	299.666	0	-77.3741	-222.292	299.666	0	
73	-58.2994	-235.522	293.821	0	-58.2994	-235.522	293.821	0	
74	-38.9946	-247.822	286.816	0	-38.9946	-247.822	286.816	0	
75	-19.5358	-259.144	278.68	0	-19.5358	-259.144	278.68	0	
76	1.32453e-012	-269.444	269.444	0	1.32453e-012	-269.444	269.444	0	
77	19.5358	-278.68	259.144	0	19.5358	-278.68	259.144	0	
78	38.9946	-286.816	247.822	0	38.9946	-286.816	247.822	0	
79	58.2994	-293.821	235.522	0	58.2994	-293.821	235.522	0	
80	77.3741	-299.666	222.292	0	77.3741	-299.666	222.292	0	
81	96.1435	-304.328	208.185	0	96.1435	-304.328	208.185	0	
82	114.533	-307.789	193.256	0	114.533	-307.789	193.256	0	
